# Provenance: branch-only commits touching each file in the migration delta.
# Columns: file <TAB> origin commits (newest first, %h:%an:%s truncated)
src/arch/common/conv-mach-hip.sh	a8a08ca11:Ritvik Rao:search for rocm paths|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/Makefile	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/arch/cuda/hybridAPI/buddy_allocator.cpp	1df662ff5:Shourya Goel:better debugs|99413bd15:Shourya Goel:malloc for load balancing buffers|bca7c3641:Shourya Goel:changes to prevent double free, cudastreamsynch|33ebcd643:Shourya Goel:cleanup|82e168d93:Anant Jain:mpi for rdma + ipc for multiple processes per gpu|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/buddy_allocator.h	1df662ff5:Shourya Goel:better debugs|99413bd15:Shourya Goel:malloc for load balancing buffers|33ebcd643:Shourya Goel:cleanup
src/arch/cuda/hybridAPI/devicemanager.h	1df662ff5:Shourya Goel:better debugs|99413bd15:Shourya Goel:malloc for load balancing buffers|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/gpumanager.h	9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|99413bd15:Shourya Goel:malloc for load balancing buffers|9e48ce995:Ritvik Rao:merge reconverse changes with lb|66b8e92e5:Anant Jain:patches for bugs|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/hapi.h	9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/hapi_functions.h	9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|9e48ce995:Ritvik Rao:merge reconverse changes with lb|4c9b86fb9:Anant Jain:working hapi port
src/arch/cuda/hybridAPI/hapi_impl.cpp	f7c7605b3:Ritvik Rao:remove debug prints|fdbe226d2:Ritvik Rao:Fix GPU/CPU build breakage exposed by the hapi me|aa309d579:Shourya Goel:trying to build git tracing && bug fixed in IPC|04bb679af:Shourya Goel:more hapi hip changes|9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|b9dcb92e8:Shourya Goel:lb buffer size not restricted to power of 2 + c
src/arch/cuda/hybridAPI/hapi_impl.h	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/arch/cuda/hybridAPI/hapi_memory_daemon.cpp	9301b3787:Sh0g0-1758:hip is hapi now, cuda is also hapi|9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/arch/cuda/hybridAPI/hapi_portable.h	9af1de4b6:Ritvik Rao:compile fix to allow cpu codes to compile|598563e0b:Ritvik Rao:getLastError|f8781187a:Ritvik Rao:hipHostFree|4f32e6690:Ritvik Rao:hapiStreamNonBlocking|57499ee49:Ritvik Rao:hipStreamCreateWithPriority|6b54206d0:Shourya Goel:add hapimemcpy2d
src/arch/mpi-darwin-arm8/conv-mach.sh	9460a3469:Laxmikant Kale:reconverse-darwin-arm8: compile with C++17 - 
src/arch/mpi-darwin-x86_64/conv-mach.sh	9460a3469:Laxmikant Kale:reconverse-darwin-arm8: compile with C++17 - 
src/arch/mpi/charmrun	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/arch/mpi/charmrun_elastic	9e48ce995:Ritvik Rao:merge reconverse changes with lb
src/arch/mpi/conv-common.h	82e168d93:Anant Jain:mpi for rdma + ipc for multiple processes per gpu
